0.01,118.889,12.5998,118.889,12.5998,15.1851,0.003244,0.014687
0.01,156.276,0.721129,156.276,0.721129,5.24355,0.003091,0.031538
0.01,162.369,8.59874,162.369,8.59874,8.32667,0.003834,0.019626
0.01,147.899,10.4483,147.899,10.4483,1.84478,0.001687,0.095955
0.01,129.557,17.3281,129.557,17.3281,48.135,0.003818,0.054409
0.01,127.6,2.20009,127.6,2.20009,8.67453,0.003157,0.00873
0.01,173.612,5.29934,173.612,5.29934,8.29976,0.003001,0.041111
0.01,172.642,10.5137,172.642,10.5137,0.343777,0.002253,0.016482
0.01,167.027,44.4373,166.211,44.1827,0.00794674,0.003742,0.374823
0.01,137.645,15.2299,137.645,15.2299,55.9894,0.003943,0.142864
0.02,88.8212,37.6064,87.9948,37.0055,0.01821,0.003758,0.363711
0.02,90.0154,75.4585,90.0164,74.662,0.00637752,0.003855,0.360904
0.02,153.324,30.5108,157.465,31.4286,0.319511,0.003839,0.920013
0.02,91.3938,14.5647,91.6931,14.4566,0.016332,0.003796,0.3146
0.02,175.596,7.63126,175.596,7.63126,5.3666,0.002864,0.110482
0.02,178.423,6.17785,177.719,6.19626,0.0311503,0.003851,0.604054
0.02,109.065,87.4652,108.89,86.7799,0.246326,0.003914,0.581461
0.02,67.6152,21.9678,66.1233,19.5391,0.0842571,0.003819,0.610611
0.02,101.918,33.6679,102.986,34.4332,0.10926,0.0038,0.776886
0.02,142.376,10.1384,142.376,10.1384,3.51082,0.003721,0.044932
0.03,164.44,39.9319,165.71,38.1281,0.166463,0.003688,0.309713
0.03,173.26,74.6134,172.863,74.1084,0.062062,0.003709,0.679618
0.03,nan,20.2857,nan,20.8338,0.0634713,0.003601,0.708356
0.03,119.078,99.7127,118.632,98.7556,0.145246,0.003927,0.779452
0.03,146.829,6.23706,148.167,7.21245,0.16435,0.003334,0.354434
0.03,123.231,11.2173,123.231,11.2173,14.6126,0.002747,0.03463
0.03,154.1,4.93997,153.704,5.00064,0.02324,0.002981,0.188571
0.03,59.5645,12.928,60.0736,12.5746,0.0541326,0.003848,0.542559
0.03,50.1767,22.6155,50.1822,22.2341,0.0137632,0.003859,0.445388
0.03,145.972,81.7479,145.012,81.5442,0.0122659,0.003801,0.463541
0.04,133.988,2.10873,134.118,1.87389,0.0285318,0.003385,0.544797
0.04,178.625,141.945,178.219,139.009,0.123592,0.003784,0.803707
0.04,151.496,67.8249,150.775,65.9068,0.130036,0.003644,0.430307
0.04,77.3659,79.897,80.9111,85.3497,0.145835,0.003955,0.28568
0.04,129.989,4.95125,131.277,4.86137,0.238348,0.002698,0.561495
0.04,134.244,39.6861,132.588,36.4386,0.450227,0.003752,0.634383
0.04,119.438,16.9204,118.349,15.4203,0.200445,0.003645,0.604756
0.04,nan,120.276,nan,120.594,0.0696455,0.00384,0.835354
0.04,157.94,2.90574,156.646,3.00784,0.0211215,0.00371,0.315008
0.04,84.7253,21.1071,85.9607,22.256,0.0481672,0.003562,0.547943
0.05,118.624,14.6207,119.835,14.9863,0.194832,0.002998,0.56283
0.05,178.214,25.4279,178.961,26.3625,0.104505,0.003607,0.757512
0.05,92.8555,8.59687,91.5817,9.37781,0.0703866,0.003262,0.738079
0.05,100.253,13.4921,104.727,14.8215,0.148678,0.003563,0.678815
0.05,164.999,102.968,163.941,102.55,0.0217675,0.003865,0.430336
0.05,165.133,46.526,165.512,46.5446,0.038229,0.003687,0.461937
0.05,155.381,128.764,155.189,128.091,0.0187294,0.004081,0.102498
0.05,174.627,62.0076,174.54,61.9223,0.0683398,0.003836,0.531617
0.05,105.594,48.9426,98.094,46.6747,0.360044,0.003841,0.871
0.05,102.178,30.0148,102.881,30.0517,0.169114,0.003962,1.04915
0.06,133.085,58.4075,133.34,58.4775,0.253757,0.003836,1.05879
0.06,173.842,26.7265,174.11,26.9843,0.0645183,0.00368,0.524642
0.06,175.493,5.2731,175.623,5.31367,0.0151409,0.003296,0.370442
0.06,175.61,69.9833,177.774,69.6445,0.0568725,0.003736,0.373808
0.06,161.547,12.7704,161.366,12.8889,0.0814747,0.00369,0.505301
0.06,176.996,93.2627,176.993,93.2185,0.071212,0.003796,0.591494
0.06,98.3449,9.80309,98.4822,9.92641,0.123197,0.002826,0.540883
0.06,169.015,66.7688,171.265,66.2728,0.134942,0.003739,0.868628
0.06,141.712,2.76451,142.153,2.74298,0.0512964,0.000382,0.562752
0.06,155.115,41.9962,154.02,41.9415,0.0302968,0.00377,0.544698
0.07,116.924,13.4942,115.982,13.2384,0.0249381,0.003924,0.485053
0.07,138.428,20.9779,139.564,21.0448,0.0466279,0.002694,0.497511
0.07,179.821,120.266,nan,120.005,0.0601472,0.00392,0.273736
0.07,102.617,33.827,101.858,34.2219,0.264937,0.003452,1.07644
0.07,157.736,39.2511,156.23,39.1372,0.1682,0.003581,0.389846
0.07,159.17,4.65066,158.743,4.61001,0.0208515,0.002993,0.414894
0.07,123.377,39.8084,123.988,40.1391,0.0110736,0.003586,0.399813
